WORD,MEANING
project,"a piece of work involving careful study of a subject over a period of time, done by school or college students"
umbrella,"an object with a round folding frame of long, straight pieces of metal covered with material, that you use to protect yourself from the rain or from hot sun"
house,"a building for people to live in, usually for one family"
market,an occasion when people buy and sell goods; the open area or building where they meet to do this
professor,a university teacher of the highest rank
great,very good or pleasant
fear,the bad feeling that you have when you are in danger or when a particular thing frightens you
dear,used at the beginning of a letter before the name or title of the person that you are writing to
